slug	original_name	new_name	directory
2016-aws-payments	24879921_1577695562312444_59386905705653557_o.jpg	2016-aws-payments.jpg	/Users/pym/Pictures/teams
2018-kaifu-lee-ai-superpowers	Gemini_Generated_Image_w1ptdjw1ptdjw1pt.jpeg	2018-kaifu-lee-ai-superpowers.jpeg	/Users/pym/Pictures/events
2019-alexa-health-a	IMG_2399.JPG	2019-alexa-health-a.jpg	/Users/pym/Pictures/teams
2019-alexa-health-b	IMG_2401.JPG	2019-alexa-health-b.jpg	/Users/pym/Pictures/teams
2019-alexa-health-c	IMG_2572.JPG	2019-alexa-health-c.jpg	/Users/pym/Pictures/teams
2019-kubecon-na-a	IMG_5523.JPG	2019-kubecon-na-a.jpg	/Users/pym/Pictures/events
2019-kubecon-na-b	IMG_5169.HEIC	2019-kubecon-na-b.heic	/Users/pym/Pictures/events
2022-app-runner-team	Gemini_Generated_Image_462qs7462qs7462q.jpeg	2022-app-runner-team.jpeg	/Users/pym/Pictures/teams
2022-builders-day-a	Gemini_Generated_Image_ftku8jftku8jftku.jpeg	2022-builders-day-a.jpeg	/Users/pym/Pictures/teams
2022-builders-day-b	Gemini_Generated_Image_nv58rgnv58rgnv58.jpeg	2022-builders-day-b.jpeg	/Users/pym/Pictures/teams
2023-agentic-ai-leadership	Gemini_Generated_Image_i890ndi890ndi890.jpeg	2023-agentic-ai-leadership.jpeg	/Users/pym/Pictures/teams
2023-david-yanacek	2023-agentic-ai-leadership.jpeg	2023-david-yanacek.jpeg	/Users/pym/Pictures/teams
2023-james-hamilton	Gemini_Generated_Image_89pqg389pqg389pq.jpeg	2023-james-hamilton.jpeg	/Users/pym/Pictures/teams
2023-junjie-desmond	Gemini_Generated_Image_1lbvh01lbvh01lbv.jpeg	2023-junjie-desmond.jpeg	/Users/pym/Pictures/teams
2023-kubecon-eu-b	IMG_4615.HEIC	2023-kubecon-eu-b.heic	/Users/pym/Pictures/events
2023-kubecon-eu-c	IMG_4995.JPG	2023-kubecon-eu-c.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-d	IMG_5009.JPG	2023-kubecon-eu-d.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-e	52838044610_7da8f11a65_o.jpg	2023-kubecon-eu-e.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-f	IMG_5011.JPG	2023-kubecon-eu-f.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-g	IMG_5029.JPG	2023-kubecon-eu-g.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-h	IMG_5656.JPG	2023-kubecon-eu-h.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-i	IMG_5657.JPG	2023-kubecon-eu-i.jpg	/Users/pym/Pictures/events
2023-kubecon-eu-j	Gemini_Generated_Image_ypf0buypf0buypf0.jpeg	2023-kubecon-eu-j.jpeg	/Users/pym/Pictures/events
2023-kubecon-eu-k	Gemini_Generated_Image_7z3s907z3s907z3s.jpeg	2023-kubecon-eu-k.jpeg	/Users/pym/Pictures/events
2023-kubecon-eu-l	Gemini_Generated_Image_5iedhv5iedhv5ied.jpeg	2023-kubecon-eu-l.jpeg	/Users/pym/Pictures/events
2023-kubecon-eu-m	Gemini_Generated_Image_jfc33zjfc33zjfc3.jpeg	2023-kubecon-eu-m.jpeg	/Users/pym/Pictures/events
2023-kubecon-eu-n	Gemini_Generated_Image_7lrm317lrm317lrm.jpeg	2023-kubecon-eu-n.jpeg	/Users/pym/Pictures/events
2023-kubecon-eu-o	Gemini_Generated_Image_n322nxn322nxn322.jpeg	2023-kubecon-eu-o.jpeg	/Users/pym/Pictures/events
2023-pi-day	Gemini_Generated_Image_k4zweak4zweak4zw.jpeg	2023-pi-day.jpeg	/Users/pym/Pictures/events
2023-staffplus-nyc-a	Gemini_Generated_Image_bng6u8bng6u8bng6.jpeg	2023-staffplus-nyc-a.jpeg	/Users/pym/Pictures/events
2023-staffplus-nyc-b	Gemini_Generated_Image_ud714oud714oud71.jpeg	2023-staffplus-nyc-b.jpeg	/Users/pym/Pictures/events
2023-staffplus-nyc-c	IMG_2500.HEIC	2023-staffplus-nyc-c.heic	/Users/pym/Pictures/events
2023-women-in-tech-regatta-a	DSC01692.JPG	2023-women-in-tech-regatta-a.jpg	/Users/pym/Pictures/events
2023-women-in-tech-regatta-b	DSC01699.JPG	2023-women-in-tech-regatta-b.jpg	/Users/pym/Pictures/events
2023-women-in-tech-regatta-c	DSC01700.JPG	2023-women-in-tech-regatta-c.jpg	/Users/pym/Pictures/events
2024-anthropic-bedrock	Gemini_Generated_Image_5r74ox5r74ox5r74.jpeg	2024-anthropic-bedrock.jpeg	/Users/pym/Pictures/teams
2024-belle-seattle	IMG_1960.jpg	2024-belle-seattle.jpg	/Users/pym/Pictures/events
2024-cen-dwp-a	81d719750130a248051093da2ce4e836.jpg	2024-cen-dwp-a.jpg	/Users/pym/Pictures/events
2024-cen-dwp-b	IMG_0502.PNG	2024-cen-dwp-b.png	/Users/pym/Pictures/events
2024-cvpr-a	IMG_3662.HEIC	2024-cvpr-a.heic	/Users/pym/Pictures/events
2024-cvpr-b	Gemini_Generated_Image_3cnuqn3cnuqn3cnu.jpeg	2024-cvpr-b.jpeg	/Users/pym/Pictures/events
